,sum,sum,sum,sum,mean,mean,mean,mean,count,count,count,count
region,North,South,West,Total,North,South,West,Total,North,South,West,Total
procedure_code,,,,,,,,,,,,
36415,12130.35,57836.97,48458.05,118425.37,466.5519230769231,416.093309352518,425.0706140350878,424.4636917562724,26,139,114,279
70450,90236.85,375893.2,312204.53,778334.58,3222.744642857143,2665.909219858156,2623.567478991597,2702.550625,28,141,119,288
70551,52844.83,234817.26,160891.32,448553.41,2935.823888888889,2762.556,2925.2967272727274,2838.9456329113923,18,85,55,158
72040,11463.33,81039.58,56599.39,149102.3,369.78483870967744,471.1603488372093,425.5593233082707,443.7568452380952,31,172,133,336
80053,14798.09,83849.78,58540.39,157188.26,284.5786538461538,297.3396453900709,269.7713824884793,285.2781488203267,52,282,217,551
85025,8946.57,48989.64,40769.13,98705.34,255.6162857142857,312.035923566879,287.10654929577464,295.5249700598802,35,157,142,334
93000,6743.28,55873.35,45845.38,108462.01,354.9094736842105,382.6941780821918,440.8209615384615,403.2044981412639,19,146,104,269
99213,62143.42,327262.66,259242.79,648648.87,460.3216296296296,498.1166818873668,473.9356307129799,484.4278342046303,135,657,547,1339
99214,71684.08,322532.05,240095.41,634311.54,465.48103896103896,489.42647951441575,474.4968577075099,480.90336618650497,154,659,506,1319
99283,4001.41,31172.21,24520.39,59694.01,333.4508333333333,465.2568656716418,510.8414583333333,470.0315748031496,12,67,48,127
Total,334992.21,1619266.7,1247166.78,3201425.6900000004,656.8474705882353,646.4138522954091,628.2956070528967,640.2851380000001,510,2505,1985,5000
